COUNTY,field_2,UNIT,DIRECTION,LENGTH,
bari,6,43033,2,973.938,
bari,6,43035,1,3421.551,
bari,6,43062,1,3421.551,
bari,6,43066,1,5000,
bari,6,43068,1,1948.724,
bari,6,43071,1,5000,
bari,6,43071,2,5000,
bari,6,43072,1,5000,
bari,6,43072,2,3027.313,
bari,6,43073,1,2719.111,
bari,6,43073,2,2205.625,
bari,6,43074,1,5000,
bari,6,43074,2,2850.313,
bari,6,43075,1,5000,
bari,6,43075,2,5000,
bari,6,43076,1,5000,
bari,6,43076,2,5000,
bari,6,43077,1,4846.643,
bari,6,43077,2,5000,
bari,6,43078,1,5000,
bari,6,43078,2,3349.328,
bari,6,43081,1,3556.062,
bari,6,43085,2,245.031,
bari,6,43101,1,4428.45,
bari,6,43101,2,5000,
bari,6,43102,1,5000,
bari,6,43102,2,5000,
bari,6,43103,1,5000,
bari,6,43103,2,5000,
bari,6,43104,1,5000,
bari,6,43104,2,5000,
bari,6,43105,1,5000,
bari,6,43105,2,5000,
bari,6,43106,1,5000,
bari,6,43106,2,5000,
bari,6,43107,1,5000,
bari,6,43107,2,5000,
bari,6,43108,1,5000,
bari,6,43108,2,5000,
bari,6,43111,1,5000,
bari,6,43111,2,5000,
bari,6,43112,1,5000,
bari,6,43112,2,5000,
bari,6,43113,1,5000,
bari,6,43113,2,5000,
bari,6,43114,1,5000,
bari,6,43114,2,5000,
bari,6,43115,1,5000,
bari,6,43115,2,5000,
bari,6,43116,1,5000,
bari,6,43116,2,5000,
bari,6,43117,1,5000,
bari,6,43117,2,5000,
bari,6,43118,1,5000,
bari,6,43118,2,5000,
bari,6,43121,1,5000,
bari,6,43121,2,5000,
bari,6,43122,1,5000,
bari,6,43122,2,5000,
bari,6,43123,1,5000,
bari,6,43123,2,5000,
bari,6,43124,1,5000,
bari,6,43124,2,3090.407,
bari,6,43125,1,5000,
bari,6,43125,2,5000,
bari,6,43126,1,5000,
bari,6,43126,2,5000,
bari,6,43127,1,5000,
bari,6,43127,2,5000,
bari,6,43128,1,4472.789,
bari,6,43128,2,5000,
bari,6,43131,1,5000,
bari,6,43132,1,5000,
bari,6,43133,1,5000,
bari,6,43134,1,5000,
bari,6,43135,1,5000,
bari,6,43137,1,5000,
bari,6,43162,1,5000,
bari,6,43164,1,5000,
bari,6,43166,1,5000,
bari,6,43168,1,5000,
bari,6,43171,1,5000,
bari,6,43171,2,5000,
bari,6,43172,1,5000,
bari,6,43172,2,5000,
bari,6,43173,1,5000,
bari,6,43173,2,5000,
bari,6,43174,1,5000,
bari,6,43174,2,5000,
bari,6,43175,1,5000,
bari,6,43175,2,5000,
bari,6,43176,1,5000,
bari,6,43176,2,5000,
bari,6,43177,1,5000,
bari,6,43177,2,5000,
bari,6,43178,1,5000,
bari,6,43178,2,5000,
bari,6,43181,1,5000,
bari,6,43181,2,1744.625,
bari,6,43183,1,5000,
bari,6,43183,2,728.125,
bari,6,43185,1,251.297,
bari,6,43185,2,2114.844,
bari,6,43187,2,1071.719,
bari,6,43201,2,2122.251,
bari,6,43202,1,5000,
bari,6,43202,2,5000,
bari,6,43203,1,1230.869,
bari,6,43203,2,5000,
bari,6,43204,1,5000,
bari,6,43204,2,5000,
bari,6,43205,1,3383.68,
bari,6,43205,2,2801.5,
bari,6,43206,1,5000,
bari,6,43206,2,5000,
bari,6,43207,1,3262.516,
bari,6,43207,2,3814.11,
bari,6,43208,1,5000,
bari,6,43208,2,5000,
bari,6,43211,1,5000,
bari,6,43211,2,5000,
bari,6,43212,1,5000,
bari,6,43212,2,5000,
bari,6,43213,1,5000,
bari,6,43213,2,5000,
bari,6,43214,1,5000,
bari,6,43214,2,5000,
bari,6,43215,1,5000,
bari,6,43215,2,5000,
bari,6,43216,1,5000,
bari,6,43216,2,5000,
bari,6,43217,1,5000,
bari,6,43217,2,5000,
bari,6,43218,1,5000,
bari,6,43218,2,5000,
bari,6,43221,1,5000,
bari,6,43221,2,5000,
bari,6,43222,1,5000,
bari,6,43222,2,5000,
bari,6,43223,1,5000,
bari,6,43223,2,5000,
bari,6,43224,1,5000,
bari,6,43224,2,5000,
bari,6,43225,1,5000,
bari,6,43225,2,5000,
bari,6,43226,1,5000,
bari,6,43226,2,5000,
bari,6,43227,1,5000,
bari,6,43227,2,5000,
bari,6,43228,1,5000,
bari,6,43228,2,5000,
bari,6,43231,1,5000,
bari,6,43232,1,5000,
bari,6,43233,1,5000,
bari,6,43234,1,5000,
bari,6,43235,1,5000,
bari,6,43237,1,5000,
bari,6,43262,1,5000,
bari,6,43264,1,5000,
bari,6,43266,1,5000,
bari,6,43268,1,5000,
bari,6,43271,1,5000,
bari,6,43271,2,5000,
bari,6,43272,1,5000,
bari,6,43272,2,5000,
bari,6,43273,1,5000,
bari,6,43273,2,5000,
bari,6,43274,1,5000,
bari,6,43274,2,5000,
bari,6,43275,1,5000,
bari,6,43275,2,5000,
bari,6,43276,1,5000,
bari,6,43276,2,5000,
bari,6,43277,1,5000,
bari,6,43277,2,5000,
bari,6,43278,1,5000,
bari,6,43278,2,5000,
bari,6,43281,1,5000,
bari,6,43281,2,5000,
bari,6,43282,1,5000,
bari,6,43282,2,943.453,
bari,6,43283,1,5000,
bari,6,43283,2,2562.484,
bari,6,43284,1,3653.838,
bari,6,43285,1,5000,
bari,6,43285,2,5000,
bari,6,43286,1,4235.941,
bari,6,43286,2,4830.547,
bari,6,43287,1,5000,
bari,6,43287,2,5000,
bari,6,43288,1,1924.805,
bari,6,43288,2,2866.406,
bari,6,43291,1,286.67,
bari,6,43301,2,3003.424,
bari,6,43302,1,5000,
bari,6,43302,2,5000,
bari,6,43303,2,3114.471,
bari,6,43304,1,5000,
bari,6,43304,2,5000,
bari,6,43305,1,2053.012,
bari,6,43305,2,2016.219,
bari,6,43306,1,5000,
bari,6,43306,2,5000,
bari,6,43307,1,5000,
bari,6,43307,2,2894.656,
bari,6,43308,1,5000,
bari,6,43308,2,5000,
bari,6,43311,1,5000,
bari,6,43311,2,5000,
